path,size,size_mb
.git/objects/pack/pack-1c664708c12442054588ab9749773342d71a63ca.pack,64555330,61.56
.git/objects/pack/pack-520cb16be37766271e81fc2a49f74cc6784c987d.pack,21906382,20.89
source/bin/python3,8021824,7.65
source/bin/python,8021824,7.65
source/bin/python3.12,8021824,7.65
xorb-complete.bundle,6999981,6.68
htmlcov/function_index.html,3194408,3.05
.git/objects/89/fdaa7ed3d3f98602da7800e826bf163f7393d5,2652678,2.53
.git/objects/05/401e0f9d4708daa7c8b6d4073e2f88cd058320,2637361,2.52
.git/objects/c4/73270549233a78af9e6c1b97583219e3eba9d4,2489612,2.37
.git/objects/dd/5026890622a2ffde1e06039810023ed9d59d8d,2489607,2.37
.git/objects/0c/f96e115a3465ec6ae19e2bdbb0bdb50f405311,1859209,1.77
htmlcov/z_6630661841c44ce4_ptaas_orchestrator_service_py.html,1136628,1.08
